payload;span;aspect_ratio;airfoil;total mass;take_off_length;climb_height;efficiency_points;distance;score_payload;score_efficiency;score_distance;b_loading;penalty_current;take_off_factor;penalty_round;score_round;score_round_corrected;wing_area;wing_loading
5.1;2;14;ag19;7.716554456;113.6532227;10.26492881;0.571135672;2879.86431;850;771.804962;899.9575967;54.66666667;0;1;0;895.2541862;0;0.285714286;270.079406
5.1;2.5;8;ag19;7.417669544;139.8269067;12.33612681;0.516031682;2688.077828;850;697.3401104;840.0243213;54.66666667;0;1;0;850.4548106;0;0.78125;94.94617016
5.1;2.5;10;ag19;7.475774617;136.066305;12.3991678;0.538563093;2757.190643;850;727.7879641;861.622076;54.66666667;0;1;0;867.8033467;0;0.625;119.6123939
5.1;2.5;12;ag19;8.211786437;92.78423607;10.85609143;0.550997192;2790.481277;850;744.5907999;872.0253991;54.66666667;0;1;0;876.8720663;0;0.520833333;157.6662996
5.1;2.5;14;ag19;8.168041916;82.53678635;10.79340372;0.553735016;2819.867536;850;748.2905625;881.2086051;54.66666667;0;1;0;881.1663892;0;0.446428571;182.9641389
5.1;2.5;16;ag19;8.392451728;73.16805694;10.29390749;0.547345421;2835.289286;850;739.6559739;886.0279018;54.66666667;0;1;0;879.8946252;0;0.390625;214.8467642
5.1;3;8;ag19;7.862818727;116.3806085;11.5533618;0.46150942;2528.338803;850;623.6613783;790.1058758;54.66666667;0;1;0;809.2557514;0;1.125;69.89172202
5.1;3;10;ag19;7.816864348;108.4686348;11.96117992;0.505395993;2653.771363;850;682.9675582;829.3035508;54.66666667;0;1;0;842.0903697;0;0.9;86.85404831
5.61;1.5;8;ag19;7.373369202;159.8433543;9.068508446;0.556576932;2817.599598;935;752.1309895;880.4998743;54.66666667;0;1;0;910.5436213;0;0.28125;262.1642383
5.61;1.5;10;ag19;7.637868292;141.3479181;7.171746817;0.56435146;2834.09244;935;762.637108;885.6538876;54.66666667;0;1;0;915.7636652;0;0.225;339.460813
5.61;1.5;12;ag19;7.718783004;129.932559;4.917842869;0.560839525;2837.184105;935;757.89125;886.6200328;54.66666667;0;1;0;914.5037609;0;0.1875;411.6684269
5.61;1.5;16;ag19;7.684543561;123.9114219;-0.356506269;0.559353564;2832.978373;935;755.8831944;885.3057415;54.66666667;0;1;0;913.396312;0;0.140625;546.456431
5.61;1.5;14;ag19;7.696293944;124.9325134;3.066596102;0.562013493;2833.957773;935;759.4776937;885.6118041;54.66666667;0;1;0;914.6964993;0;0.160714286;478.8805121
5.61;2;8;ag19;7.604679503;145.8838656;10.9987424;0.541410291;2767.570319;935;731.6355285;864.8657246;54.66666667;0;1;0;898.5004177;0;0.5;152.0935901
5.61;2;10;ag19;8.183457113;112.8770896;9.294220626;0.536497111;2797.78772;935;724.9960962;874.3086625;54.66666667;0;1;0;899.4349196;0;0.4;204.5864278
5.61;2;14;ag19;8.299274456;92.7914054;8.395096348;0.565533145;2835.595022;935;764.2339791;886.1234444;54.66666667;0;1;0;916.4524745;0;0.285714286;290.474606
5.61;2;12;ag19;8.142968242;106.0148474;9.478651302;0.54829818;2826.429405;935;740.9434859;883.2591892;54.66666667;0;1;0;907.734225;0;0.333333333;244.2890472
5.61;2;16;ag19;8.298935548;92.12272143;7.536517431;0.570039603;2851.431411;935;770.3237884;891.0723159;54.66666667;0;1;0;920.1320348;0;0.25;331.9574219
5.61;2.5;10;ag19;8.228310407;101.2117644;10.68755865;0.529245448;2729.211402;935;715.1965519;852.8785631;54.66666667;0;1;0;889.0250383;0;0.625;131.6529665
5.61;2.5;8;ag19;7.974810596;124.4052451;11.04879312;0.508365027;2664.80264;935;686.9797661;832.7508249;54.66666667;0;1;0;872.910197;0;0.78125;102.0775756
5.61;2.5;12;ag19;8.793795911;65.72067485;9.587914277;0.541023554;2761.32319;935;731.1129104;862.9134969;54.66666667;0;1;0;897.6754691;0;0.520833333;168.8408815
5.61;2.5;14;ag19;8.767814548;64.70252021;9.599233965;0.551191619;2788.911006;935;744.8535387;871.5346894;54.66666667;0;1;0;905.1294094;0;0.446428571;196.3990459
5.61;2.5;16;ag19;8.979198044;64.01224904;8.853307707;0.554157634;2802.339575;935;748.8616682;875.731117;54.66666667;0;1;0;907.8642617;0;0.390625;229.8674699
5.61;3;8;ag19;8.427065043;91.90571574;10.4765611;0.462741512;2509.18866;935;625.3263681;784.1214562;54.66666667;0;1;0;836.1492748;0;1.125;74.90724483
5.61;3;10;ag19;8.435110664;72.79276131;10.74283842;0.476350641;2633.723118;935;643.7170828;823.0384745;54.66666667;0;1;0;855.2518524;0;0.9;93.72345182
